ticker,date,open,high,low,close,volume,adj_close,created_at
LLOY.L,2023-06-23,42.655,42.76,42.173,42.32,190268748,42.32,2025-06-23 12:50:12.827
LLOY.L,2023-06-26,42.03,42.19,41.24,41.96,307235863,41.96,2025-06-23 12:50:12.83
LLOY.L,2023-06-27,42.05,42.695,42.04,42.5,175392127,42.5,2025-06-23 12:50:12.831
LLOY.L,2023-06-28,42.555,42.8,42.275,42.65,139013995,42.65,2025-06-23 12:50:12.833
LLOY.L,2023-06-29,42.65,43.0,42.5,42.77,153320601,42.77,2025-06-23 12:50:12.834
LLOY.L,2023-06-30,43.21,44.105,42.93,43.59,198448419,43.59,2025-06-23 12:50:12.835
LLOY.L,2023-07-03,43.915,44.37,43.875,44.225,90072762,44.225,2025-06-23 12:50:12.837
LLOY.L,2023-07-04,44.325,44.435,43.88,43.88,167430547,43.88,2025-06-23 12:50:12.838
LLOY.L,2023-07-05,43.7,44.265,43.52,43.83,191321250,43.83,2025-06-23 12:50:12.839
LLOY.L,2023-07-06,43.35,44.01,43.029,43.3,218259259,43.3,2025-06-23 12:50:12.84
LLOY.L,2023-07-07,43.21,43.275,42.685,43.095,92266441,43.095,2025-06-23 12:50:12.842
LLOY.L,2023-07-10,42.985,43.345,42.9,43.045,84664497,43.045,2025-06-23 12:50:12.843
LLOY.L,2023-07-11,42.98,43.37,42.72,43.37,237726887,43.37,2025-06-23 12:50:12.844
LLOY.L,2023-07-12,43.55,44.887,43.485,44.525,376682366,44.525,2025-06-23 12:50:12.845
LLOY.L,2023-07-13,44.38,44.85,44.075,44.725,128402399,44.725,2025-06-23 12:50:12.846
LLOY.L,2023-07-14,44.665,44.84,44.36,44.36,135149204,44.36,2025-06-23 12:50:12.848
LLOY.L,2023-07-17,44.21,45.055,44.137,44.84,83672031,44.84,2025-06-23 12:50:12.849
LLOY.L,2023-07-18,44.995,45.83,44.745,45.69,113536894,45.69,2025-06-23 12:50:12.85
LLOY.L,2023-07-19,46.76,47.125,46.18,46.695,178293923,46.695,2025-06-23 12:50:12.852
LLOY.L,2023-07-20,46.765,47.025,46.1,46.335,145067305,46.335,2025-06-23 12:50:12.853
LLOY.L,2023-07-21,46.415,46.585,45.787,45.855,113659310,45.855,2025-06-23 12:50:12.854
LLOY.L,2023-07-24,45.485,46.055,45.312,46.045,78816082,46.045,2025-06-23 12:50:12.855
LLOY.L,2023-07-25,45.98,46.43,45.78,46.095,95683621,46.095,2025-06-23 12:50:12.856
LLOY.L,2023-07-26,44.26,45.46,43.705,45.33,313097530,45.33,2025-06-23 12:50:12.858
LLOY.L,2023-07-27,45.185,45.727,44.9,45.05,186380226,45.05,2025-06-23 12:50:12.859
LLOY.L,2023-07-28,44.865,45.471,44.81,45.125,245836995,45.125,2025-06-23 12:50:12.86
LLOY.L,2023-07-31,45.065,45.295,44.855,44.935,113386275,44.935,2025-06-23 12:50:12.862
LLOY.L,2023-08-01,44.6,44.925,44.235,44.34,111305751,44.34,2025-06-23 12:50:12.863
LLOY.L,2023-08-02,43.68,44.08,43.135,43.26,144873986,43.26,2025-06-23 12:50:12.864
LLOY.L,2023-08-03,42.2,43.185,41.96,42.925,409948546,42.925,2025-06-23 12:50:12.865
LLOY.L,2023-08-04,43.14,43.275,42.725,43.14,119146267,43.14,2025-06-23 12:50:12.866
LLOY.L,2023-08-07,43.255,43.49,42.915,43.17,107514647,43.17,2025-06-23 12:50:12.867
LLOY.L,2023-08-08,42.89,43.155,42.315,42.685,165406529,42.685,2025-06-23 12:50:12.869
LLOY.L,2023-08-09,43.195,43.43,42.695,42.78,306523528,42.78,2025-06-23 12:50:12.87
LLOY.L,2023-08-10,43.02,43.275,42.875,43.0,162978357,43.0,2025-06-23 12:50:12.871
LLOY.L,2023-08-11,42.925,43.205,42.72,42.95,135777375,42.95,2025-06-23 12:50:12.872
LLOY.L,2023-08-14,42.81,43.08,42.685,42.84,574256117,42.84,2025-06-23 12:50:12.874
LLOY.L,2023-08-15,42.755,42.965,42.235,42.475,98089646,42.475,2025-06-23 12:50:12.875
LLOY.L,2023-08-16,42.265,42.42,42.018,42.09,168642832,42.09,2025-06-23 12:50:12.876
LLOY.L,2023-08-17,41.995,42.67,41.958,42.415,121142791,42.415,2025-06-23 12:50:12.877
LLOY.L,2023-08-18,42.25,42.62,41.955,42.245,139696325,42.245,2025-06-23 12:50:12.878
LLOY.L,2023-08-21,42.07,42.712,42.07,42.09,114254017,42.09,2025-06-23 12:50:12.88
LLOY.L,2023-08-22,42.34,42.4,41.725,41.725,283173044,41.725,2025-06-23 12:50:12.881
LLOY.L,2023-08-23,41.905,42.25,41.763,41.87,137362304,41.87,2025-06-23 12:50:12.882
LLOY.L,2023-08-24,42.335,42.635,42.035,42.13,88778714,42.13,2025-06-23 12:50:12.883
LLOY.L,2023-08-25,42.11,42.505,41.735,41.795,89999773,41.795,2025-06-23 12:50:12.884
LLOY.L,2023-08-29,42.17,42.96,42.17,42.905,192034758,42.905,2025-06-23 12:50:12.886
LLOY.L,2023-08-30,43.095,43.575,42.805,42.825,110852442,42.825,2025-06-23 12:50:12.887
LLOY.L,2023-08-31,42.96,43.22,42.355,42.355,321802013,42.355,2025-06-23 12:50:12.888
LLOY.L,2023-09-01,42.4,42.58,42.07,42.115,313465005,42.115,2025-06-23 12:50:12.89
LLOY.L,2023-09-04,42.32,42.575,41.798,41.975,64586808,41.975,2025-06-23 12:50:12.891
LLOY.L,2023-09-05,41.685,42.26,41.465,41.76,66880505,41.76,2025-06-23 12:50:12.892
LLOY.L,2023-09-06,41.46,41.7,41.23,41.495,102192028,41.495,2025-06-23 12:50:12.893
